BL_ID;BL;AGS;Name;Total;Male;Female;;
01;Schleswig-Holstein;01053126;Tramm;  337;  164;  173;;
01;Schleswig-Holstein;01053127;Walksfelde;  181;  93;  88;;
01;Schleswig-Holstein;01053128;Wangelau;  231;  113;  118;;
01;Schleswig-Holstein;01053129;Wentorf bei Hamburg; 11 833; 5 663; 6 170;;
01;Schleswig-Holstein;01053130;Wentorf (Amt Sandesneben);  688;  344;  344;;
01;Schleswig-Holstein;01053131;Wiershop;  164;  81;  83;;
01;Schleswig-Holstein;01053132;Witzeeze;  895;  406;  489;;
01;Schleswig-Holstein;01053133;Wohltorf; 2 420; 1 179; 1 241;;
01;Schleswig-Holstein;01053134;Woltersdorf;  293;  150;  143;;
01;Schleswig-Holstein;01053135;Worth;  166;  81;  85;;
01;Schleswig-Holstein;01053136;Ziethen;  997;  483;  514;;
01;Schleswig-Holstein;01054001;Achtrup; 1 513;  786;  727;;
01;Schleswig-Holstein;01054002;Ahrenshöft;  505;  250;  255;;
01;Schleswig-Holstein;01054003;Ahrenviöl;  518;  270;  248;;
01;Schleswig-Holstein;01054004;Ahrenviölfeld;  250;  117;  133;;
01;Schleswig-Holstein;01054005;Alkersum;  428;  202;  226;;
01;Schleswig-Holstein;01054006;Almdorf;  555;  297;  258;;
01;Schleswig-Holstein;01054007;Arlewatt;  331;  182;  149;;
01;Schleswig-Holstein;01054009;Aventoft;  466;  223;  243;;
01;Schleswig-Holstein;01054010;Bargum;  608;  306;  302;;
01;Schleswig-Holstein;01054011;Behrendorf;  561;  297;  264;;
01;Schleswig-Holstein;01054012;Bohmstedt;  733;  357;  376;;
01;Schleswig-Holstein;01054013;Bondelum;  206;  109;  97;;
01;Schleswig-Holstein;01054014;Bordelum; 2 023; 1 037;  986;;
01;Schleswig-Holstein;01054015;Borgsum;  341;  169;  172;;
01;Schleswig-Holstein;01054016;Bosbüll;  215;  106;  109;;
01;Schleswig-Holstein;01054017;Braderup;  661;  333;  328;;
01;Schleswig-Holstein;01054018;Bramstedtlund;  192;  97;  95;;
01;Schleswig-Holstein;01054019;Bredstedt, Stadt; 5 065; 2 432; 2 633;;
01;Schleswig-Holstein;01054020;Breklum; 2 359; 1 160; 1 199;;
01;Schleswig-Holstein;01054022;Dagebüll;  917;  447;  470;;
01;Schleswig-Holstein;01054023;Drage;  622;  275;  347;;
01;Schleswig-Holstein;01054024;Drelsdorf; 1 253;  644;  609;;
01;Schleswig-Holstein;01054025;Dunsum;  67;  31;  36;;
01;Schleswig-Holstein;01054026;Elisabeth-Sophien-Koog;  40;  22;  18;;
01;Schleswig-Holstein;01054027;Ellhöft;  111;  62;  49;;
01;Schleswig-Holstein;01054032;Fresendelf;  97;  59;  38;;
01;Schleswig-Holstein;01054033;Friedrichstadt, Stadt; 2 558; 1 218; 1 340;;
01;Schleswig-Holstein;01054034;Friedrich-Wilhelm-Lübke-Koog;  185;  95;  90;;
01;Schleswig-Holstein;01054035;Garding, Kirchspiel;  397;  191;  206;;
01;Schleswig-Holstein;01054036;Garding, Stadt; 2 472; 1 152; 1 320;;
01;Schleswig-Holstein;01054037;Goldebek;  351;  173;  178;;
01;Schleswig-Holstein;01054038;Goldelund;  403;  200;  203;;
01;Schleswig-Holstein;01054039;Gröde;  11;  06;  05;;
01;Schleswig-Holstein;01054040;Grothusenkoog;  23;  09;  14;;
01;Schleswig-Holstein;01054041;Haselund;  905;  467;  438;;
01;Schleswig-Holstein;01054042;Hattstedt; 2 565; 1 254; 1 311;;
01;Schleswig-Holstein;01054043;Hattstedtermarsch;  304;  164;  140;;
01;Schleswig-Holstein;01054045;Högel;  461;  223;  238;;
01;Schleswig-Holstein;01054046;Hörnum (Sylt);  882;  445;  437;;
01;Schleswig-Holstein;01054048;Holm;  78;  37;  41;;
01;Schleswig-Holstein;01054050;Hallig Hooge;  106;  51;  55;;
01;Schleswig-Holstein;01054052;Horstedt;  721;  368;  353;;
01;Schleswig-Holstein;01054054;Hude;  194;  104;  90;;
01;Schleswig-Holstein;01054055;Humptrup;  717;  362;  355;;
01;Schleswig-Holstein;01054056;Husum, Stadt; 22 135; 10 459; 11 676;;
01;Schleswig-Holstein;01054057;Immenstedt;  681;  354;  327;;
01;Schleswig-Holstein;01054059;Joldelund;  761;  385;  376;;
01;Schleswig-Holstein;01054061;Kampen (Sylt);  515;  251;  264;;
01;Schleswig-Holstein;01054062;Karlum;  219;  106;  113;;
01;Schleswig-Holstein;01054063;Katharinenheerd;  176;  84;  92;;
01;Schleswig-Holstein;01054065;Klanxbüll;  953;  460;  493;;
01;Schleswig-Holstein;01054068;Klixbüll;  949;  493;  456;;
01;Schleswig-Holstein;01054070;Koldenbüttel;  917;  458;  459;;
01;Schleswig-Holstein;01054071;Kolkerheide;  55;  27;  28;;
01;Schleswig-Holstein;01054072;Kotzenbüll;  227;  117;  110;;
01;Schleswig-Holstein;01054073;Ladelund; 1 387;  686;  701;;
01;Schleswig-Holstein;01054074;Langeneß;  134;  68;  66;;
01;Schleswig-Holstein;01054075;Langenhorn; 3 113; 1 542; 1 571;;
01;Schleswig-Holstein;01054076;Leck; 7 716; 3 746; 3 970;;
01;Schleswig-Holstein;01054077;Lexgaard;  54;  33;  21;;
01;Schleswig-Holstein;01054078;List; 1 560;  773;  787;;
01;Schleswig-Holstein;01054079;Löwenstedt;  657;  337;  320;;
01;Schleswig-Holstein;01054080;Lütjenholm;  321;  168;  153;;
01;Schleswig-Holstein;01054083;Midlum;  401;  168;  233;;
01;Schleswig-Holstein;01054084;Mildstedt; 3 804; 1 797; 2 007;;
01;Schleswig-Holstein;01054085;Nebel;  960;  435;  525;;
01;Schleswig-Holstein;01054086;Neukirchen; 1 243;  626;  617;;
01;Schleswig-Holstein;01054087;Nieblum;  606;  282;  324;;
01;Schleswig-Holstein;01054088;Niebüll, Stadt; 9 574; 4 570; 5 004;;
01;Schleswig-Holstein;01054089;Norddorf auf Amrum;  572;  263;  309;;
01;Schleswig-Holstein;01054090;Norderfriedrichskoog;  49;  28;  21;;
01;Schleswig-Holstein;01054091;Nordstrand; 2 254; 1 071; 1 183;;
01;Schleswig-Holstein;01054092;Norstedt;  432;  220;  212;;
01;Schleswig-Holstein;01054093;Ockholm;  341;  179;  162;;
01;Schleswig-Holstein;01054094;Oevenum;  458;  212;  246;;
01;Schleswig-Holstein;01054095;Oldenswort; 1 269;  646;  623;;
01;Schleswig-Holstein;01054096;Oldersbek;  662;  352;  310;;
01;Schleswig-Holstein;01054097;Olderup;  437;  222;  215;;
01;Schleswig-Holstein;01054098;Oldsum;  562;  258;  304;;
01;Schleswig-Holstein;01054099;Ostenfeld (Husum); 1 530;  749;  781;;
01;Schleswig-Holstein;01054100;Osterhever;  249;  119;  130;;
01;Schleswig-Holstein;01054101;Oster-Ohrstedt;  624;  322;  302;;
01;Schleswig-Holstein;01054103;Pellworm; 1 179;  552;  627;;
01;Schleswig-Holstein;01054104;Poppenbüll;  238;  121;  117;;
01;Schleswig-Holstein;01054105;Ramstedt;  435;  210;  225;;
01;Schleswig-Holstein;01054106;Rantrum; 1 653;  832;  821;;
01;Schleswig-Holstein;01054108;Reußenköge;  356;  189;  167;;
01;Schleswig-Holstein;01054109;Risum-Lindholm; 3 642; 1 818; 1 824;;
01;Schleswig-Holstein;01054110;Rodenäs;  443;  231;  212;;
01;Schleswig-Holstein;01054113;Sankt Peter-Ording; 3 799; 1 777; 2 022;;
01;Schleswig-Holstein;01054116;Schwabstedt; 1 320;  647;  673;;
01;Schleswig-Holstein;01054118;Schwesing;  919;  464;  455;;
01;Schleswig-Holstein;01054119;Seeth;  580;  289;  291;;
01;Schleswig-Holstein;01054120;Simonsberg;  785;  390;  395;;
01;Schleswig-Holstein;01054121;Sönnebüll;  270;  132;  138;;
01;Schleswig-Holstein;01054123;Sollwitt;  287;  143;  144;;
01;Schleswig-Holstein;01054124;Sprakebüll;  232;  123;  109;;
01;Schleswig-Holstein;01054125;Stadum;  987;  526;  461;;
01;Schleswig-Holstein;01054126;Stedesand;  848;  428;  420;;
01;Schleswig-Holstein;01054128;Struckum;  990;  485;  505;;
01;Schleswig-Holstein;01054129;Süderende;  198;  92;  106;;
01;Schleswig-Holstein;01054130;Süderhöft;  19;  10;  09;;
01;Schleswig-Holstein;01054131;Süderlügum; 2 289; 1 121; 1 168;;
01;Schleswig-Holstein;01054132;Südermarsch;  169;  91;  78;;
