AGS;Name;Insgesamt;Fernheizung (Fernwärme);Etagenheizung;Blockheizung;Zentralheizung;Einzel-oder Mehrraumöfen;keine Heizung im Gebäude
01061072;Münsterdorf;703;3;14;-;680;6;-
01061073;Neuenbrook;219;3;7;-;209;0;-
01061074;Neuendorf b. Elmshorn;318;3;4;-;295;16;-
01061076;Nienbüttel;54;-;-;-;45;9;-
01061077;Nortorf;313;6;13;-;291;0;3
01061078;Nutteln;106;6;-;-;97;3;-
01061079;Oelixdorf;505;6;11;9;467;12;-
01061080;Oeschebüttel;79;3;-;-;72;4;-
01061081;Oldenborstel;46;-;-;-;43;3;-
01061082;Oldendorf;422;10;20;3;373;16;-
01061083;Ottenbüttel;253;17;12;-;220;4;-
01061084;Peissen;108;-;-;-;95;13;-
01061085;Pöschendorf;83;3;3;-;77;-;-
01061086;Poyenberg;149;13;3;-;121;12;-
01061087;Puls;201;-;-;-;182;19;-
01061088;Quarnstedt;147;-;-;3;141;3;-
01061089;Rade;47;-;-;-;41;6;-
01061091;Reher;277;21;-;6;219;31;-
01061092;Rethwisch;217;29;12;3;170;-;3
01061093;Rosdorf;136;-;3;-;129;4;-
01061095;Sankt Margarethen;327;3;6;-;309;9;-
01061096;Sarlhusen;157;10;-;3;132;12;-
01061097;Schenefeld;786;18;12;3;731;22;-
01061098;Schlotfeld;99;3;-;-;93;3;-
01061099;Siezbüttel;21;3;-;-;18;-;-
01061100;Silzen;52;4;4;-;44;-;-
01061101;Sommerland;305;3;6;4;259;33;-
01061102;Stördorf;55;3;-;-;49;3;-
01061103;Störkathen;26;-;10;-;12;4;-
01061104;Süderau;266;13;3;-;250;0;-
01061105;Vaale;450;6;9;3;413;19;-
01061106;Vaalermoor;55;-;-;-;49;6;-
01061107;Wacken;620;111;13;4;482;10;-
01061108;Warringholz;131;3;3;-;99;22;4
01061109;Westermoor;147;4;-;-;137;6;-
01061110;Wewelsfleth;587;78;9;-;451;49;-
01061111;Wiedenborstel;3;-;-;-;3;-;-
01061112;Willenscharen;49;4;-;-;45;-;-
01061113;Wilster;1409;34;109;6;1234;26;-
01061114;Winseldorf;124;-;-;-;112;12;-
01061115;Wittenbergen;64;-;-;-;55;9;-
01061116;Wrist;750;19;15;-;685;28;3
01061117;Wulfsmoor;133;-;-;-;129;4;-
01061118;Kollmar;667;20;18;3;599;27;-
01061119;Neuendorf-Sachsenbande;192;-;6;3;165;18;-
01062001;Ahrensburg;7823;550;260;124;6739;150;-
01062003;Badendorf;259;-;4;-;249;6;-
01062004;Bad Oldesloe;5850;455;209;21;5075;87;3
01062005;Bargfeld-Stegen;802;16;18;4;729;35;-
01062006;Bargteheide;4109;440;130;64;3351;124;-
01062008;Barnitz;281;6;3;-;266;6;-
01062009;Barsbüttel;3618;437;115;51;2963;52;-
01062011;Braak;285;9;3;-;273;-;-
01062014;Delingsdorf;690;183;18;15;459;15;-
01062016;Elmenhorst;814;13;22;-;756;23;-
01062018;Glinde;3686;455;117;60;3010;44;-
01062019;Grabau;277;9;3;19;243;3;-
01062020;Grande;218;9;3;3;200;3;-
01062021;Grönwohld;464;6;4;3;439;12;-
01062022;Großensee;608;21;12;11;534;27;3
01062023;Großhansdorf;2625;82;85;16;2423;16;3
01062025;Hamberge;478;16;27;-;422;13;-
01062026;Hamfelde;148;-;-;-;148;-;-
01062027;Hammoor;390;11;13;-;356;10;-
01062031;Heidekamp;153;7;4;-;135;7;-
01062032;Heilshoop;190;14;4;-;159;13;-
01062033;Hohenfelde;39;-;-;3;30;3;3
01062035;Hoisdorf;1174;43;12;6;1070;43;-
01062036;Jersbek;582;12;6;13;523;28;-
01062039;Klein Wesenberg;252;9;-;6;231;6;-
01062040;Köthel;122;6;3;-;113;-;-
01062045;Lütjensee;949;36;14;4;855;40;-
01062046;Meddewade;265;0;-;-;262;3;-
01062048;Mönkhagen;205;-;10;-;186;9;-
01062050;Neritz;117;-;-;-;111;6;-
01062051;Nienwohld;161;-;4;-;151;6;-
01062053;Oststeinbek;2359;114;88;33;2084;34;6
01062056;Pölitz;365;13;7;-;326;19;-
01062058;Rausdorf;84;11;-;-;67;6;-
01062059;Rehhorst;221;12;3;-;189;17;-
01062060;Reinbek;7122;288;206;84;6436;108;-
01062061;Reinfeld (Holstein);2619;200;104;15;2258;42;-
01062062;Rethwisch;369;16;9;-;338;6;-
01062065;Rümpel;371;6;3;-;340;22;-
01062069;Siek;680;24;7;6;634;9;-
01062071;Stapelfeld;540;435;-;-;105;-;-
01062076;Tangstedt;2137;64;35;21;1964;53;-
01062078;Todendorf;369;22;-;-;327;20;-
01062081;Tremsbüttel;645;24;14;6;582;19;-
01062082;Trittau;2341;247;64;13;1961;56;-
01062083;Westerau;245;3;6;-;213;17;6
01062086;Witzhave;480;15;3;10;434;18;-
01062087;Zarpen;477;12;10;3;436;16;-
01062088;Brunsbek;545;11;-;-;527;7;-
