GENESIS-Tabelle: 036-02-5-B
Gebäude mit Wohnraum nach Anzahl der Wohnungen;;;;;;;
- Stichtag 09.05.2011;;;;;;;
regionale Ebenen;;;;;;;
Gebäude- und Wohnungszählung 2011 (Zensus);;;;;;;
Stichtag: 09.05.2011;;;;;;;
;;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum;Gebäude mit Wohnraum
;;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen;Gebäude nach Zahl der Wohnungen
;;Insgesamt;1 Wohnung;2 Wohnungen;3 - 6 Wohnungen;7 - 12 Wohnungen;13 und mehr Wohnungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01054136;Tinningstedt;79;62;14;3;-;-
01054138;Tönning;1950;1629;172;137;12;-
01054140;Tümlauer Koog;42;21;9;12;-;-
01054141;Uelvesbüll;132;121;8;3;-;-
01054142;Uphusum;160;144;13;3;-;-
01054143;Utersum;193;102;59;32;-;-
01054144;Viöl;666;536;102;28;-;-
01054145;Vollerwiek;115;81;22;12;-;-
01054146;Vollstedt;69;51;15;3;-;-
01054148;Welt;116;92;14;7;3;-
01054149;Wenningstedt-Braderup (Sylt);1271;729;244;256;30;12
01054150;Westerhever;95;82;6;7;-;-
01054151;Westerland;-;-;-;-;-;-
01054152;Wester-Ohrstedt;368;303;49;16;-;-
01054154;Westre;146;119;27;-;-;-
01054156;Winnert;277;217;39;21;-;-
01054157;Wisch;44;41;3;-;-;-
01054158;Witsum;30;30;-;-;-;-
01054159;Wittbek;302;262;33;7;-;-
01054160;Wittdün auf Amrum;278;138;22;77;28;13
01054161;Witzwort;434;368;53;13;-;-
01054162;Wobbenbüll;173;142;19;12;-;-
01054163;Wrixum;265;156;73;32;4;-
01054164;Wyk auf Föhr;1813;995;390;334;62;32
01054165;Galmsbüll;230;174;38;18;-;-
01054166;Emmelsbüll-Horsbüll;424;350;47;27;-;-
01054167;Enge-Sande;425;380;42;3;-;-
01054168;Sylt;5227;3290;760;931;163;83
01055001;Ahrensbök;2678;2128;354;169;21;6
01055002;Altenkrempe;364;284;71;9;-;-
01055004;Bad Schwartau;4954;3523;608;547;239;37
01055006;Beschendorf;188;163;16;9;-;-
01055007;Bosau;1291;1055;164;66;3;3
01055010;Dahme;827;545;94;155;18;15
01055011;Damlos;245;200;35;10;-;-
01055012;Eutin;4507;3132;505;694;166;10
01055014;Göhl;435;380;43;12;-;-
01055015;Gremersdorf;555;464;70;15;-;6
01055016;Grömitz;2910;1977;411;342;108;72
01055017;Großenbrode;1074;878;120;50;6;20
01055018;Grube;393;322;46;22;3;-
01055020;Harmsdorf;258;209;36;13;-;-
01055021;Heiligenhafen;2762;2062;272;301;78;49
01055022;Heringsdorf (Holstein);545;471;52;13;6;3
01055023;Kabelhorst;161;125;27;9;-;-
01055024;Kasseedorf;509;395;64;47;3;-
01055025;Kellenhusen (Ostsee);534;311;101;84;29;9
01055027;Lensahn;1534;1221;181;90;39;3
01055028;Malente;3069;2191;475;295;86;22
01055029;Manhagen;142;115;12;15;-;-
01055031;Neukirchen;567;478;43;46;-;-
01055032;Neustadt in Holstein;3948;2850;399;475;187;37
01055033;Oldenburg in Holstein;2959;2329;286;257;74;13
01055035;Ratekau;4747;3781;615;245;103;3
01055036;Riepsdorf;400;331;58;8;3;-
01055037;Schashagen;883;757;93;23;7;3
01055038;Schönwalde am Bungsberg;793;584;144;56;6;3
01055039;Sierksdorf;594;429;79;64;3;19
01055040;Stockelsdorf;5086;4079;564;354;80;9
01055041;Süsel;1816;1452;257;101;3;3
01055042;Timmendorfer Strand;3110;2065;388;416;162;79
01055043;Wangels;867;717;99;45;3;3
01055044;Scharbeutz;3954;2936;507;346;96;69
01055046;Fehmarn;5000;3798;602;509;67;24
01056001;Appen;1433;1152;164;99;15;3
01056002;Barmstedt;2761;2074;367;246;65;9
01056003;Bevern;187;136;30;21;-;-
01056004;Bilsen;237;200;27;10;-;-
01056005;Bönningstedt;1315;1085;132;86;9;3
01056006;Bokel;209;147;45;17;-;-
01056008;Bokholt-Hanredder;437;387;38;12;-;-
01056009;Borstel-Hohenraden;704;577;88;32;4;3
01056010;Brande-Hörnerkirchen;500;403;63;34;-;-
01056011;Bullenkuhlen;101;88;6;7;-;-
01056013;Ellerbek;1436;1215;154;49;18;-
01056014;Ellerhoop;465;378;66;21;-;-
01056015;Elmshorn;10850;7739;1221;1104;666;120
01056016;Groß Nordende;204;161;22;21;-;-
01056017;Groß Offenseth-Aspern;104;79;13;12;-;-
01056018;Halstenbek;4662;3926;319;249;137;31
01056019;Haselau;371;305;45;18;3;-
01056020;Haseldorf;577;473;75;29;-;-
01056021;Hasloh;1037;845;106;79;7;-
01056022;Heede;234;182;40;12;-;-
01056023;Heidgraben;832;708;86;38;-;-
01056024;Heist;980;832;104;44;-;-
01056025;Helgoland;706;410;170;126;0;-
01056026;Hemdingen;484;380;78;26;-;-
01056027;Hetlingen;476;390;69;14;3;-
01056028;Holm;992;828;103;46;15;-
01056029;Klein Nordende;1062;909;123;30;-;-
01056030;Klein Offenseth-Sparrieshoop;914;775;99;36;4;-
01056031;Kölln-Reisiek;942;810;77;40;15;-
01056032;Kummerfeld;713;624;59;24;6;-
01056033;Seester;321;269;39;13;-;-
01056034;Langeln;179;133;40;6;-;-
01056035;Lutzhorn;244;173;50;21;-;-
01056036;Moorrege;1430;1245;123;53;9;-
01056037;Neuendeich;175;147;25;3;-;-
01056038;Osterhorn;124;96;19;6;3;-
01056039;Pinneberg;9095;7079;617;755;513;131
01056040;Prisdorf;740;619;90;31;-;-
01056041;Quickborn;5682;4628;533;317;164;40
01056042;Raa-Besenbek;205;177;22;6;-;-
01056043;Rellingen;4159;3358;414;268;113;6
01056044;Schenefeld, Stadt;4285;3243;380;367;215;80
01056045;Seestermühe;371;320;44;7;-;-
01056046;Seeth-Ekholt;267;213;42;9;3;-
01056047;Tangstedt;690;548;83;52;7;-
01056048;Tornesch;3658;3031;353;191;59;24
01056049;Uetersen;4521;3475;374;482;164;26
01056050;Wedel;6839;4954;579;708;496;102
01056051;Westerhorn;439;350;64;25;-;-
01057001;Ascheberg (Holstein);1002;848;92;56;3;3
01057002;Barmissen;51;51;-;-;-;-
01057003;Barsbek;195;152;27;13;3;-
01057004;Behrensdorf (Ostsee);337;262;41;31;3;-
01057005;Belau;153;140;10;3;-;-
01057006;Bendfeld;89;72;13;4;-;-
01057007;Blekendorf;669;550;86;33;-;-
01057008;Bönebüttel;703;606;80;17;-;-
01057009;Bösdorf;479;393;67;19;-;-
01057010;Boksee;141;104;22;15;-;-
01057011;Bothkamp;90;65;19;6;-;-
01057012;Brodersdorf;139;105;28;6;-;-
01057013;Dannau;225;199;20;6;-;-
01057015;Dersau;301;212;66;23;-;-
01057016;Dobersdorf;402;356;30;13;3;-
01057017;Dörnick;98;76;16;6;-;-
01057018;Fahren;42;39;-;3;-;-
01057020;Fiefbergen;189;151;32;6;-;-
01057021;Giekau;410;343;43;24;-;-
01057022;Grebin;343;291;37;15;-;-
